scan_id,timestamp,lat,lon,ssid,mac,rssi
232,2026-02-17 10:49:20,35.52018,11.03284,dlink-04F9,10:BE:F5:52:04:F9,-85
232,2026-02-17 10:49:20,35.52018,11.03284,ooredoo-43FE1C,98:A9:42:43:FE:1D,-88
231,2026-02-17 10:49:15,35.52019,11.03263,DIR-612-CC15,E0:1C:FC:FB:CC:16,-84
231,2026-02-17 10:49:15,35.52019,11.03263,TOPNET_3420,84:D8:1B:19:34:20,-81
231,2026-02-17 10:49:15,35.52019,11.03263,dlink-04F9,10:BE:F5:52:04:F9,-85
230,2026-02-17 10:49:09,35.52012,11.03288,dlink-04F9,10:BE:F5:52:04:F9,-85
230,2026-02-17 10:49:09,35.52012,11.03288,ooredoo-43FE1C,98:A9:42:43:FE:1D,-88
229,2026-02-17 10:49:04,35.52012,11.03288,TOPNET_3420,84:D8:1B:19:34:20,-82
229,2026-02-17 10:49:04,35.52012,11.03288,dlink-04F9,10:BE:F5:52:04:F9,-85
229,2026-02-17 10:49:04,35.52012,11.03288,ooredoo-43DD30,98:A9:42:43:DD:31,-86
229,2026-02-17 10:49:04,35.52012,11.03288,ooredoo-43FE1C,98:A9:42:43:FE:1D,-88
228,2026-02-17 10:48:59,35.52008,11.03287,ooredoo-43DD30,98:A9:42:43:DD:31,-86
228,2026-02-17 10:48:59,35.52008,11.03287,ooredoo-43FE1C,98:A9:42:43:FE:1D,-88
228,2026-02-17 10:48:59,35.52008,11.03287,dlink-04F9,10:BE:F5:52:04:F9,-85
228,2026-02-17 10:48:59,35.52008,11.03287,DIR-612-CC15,E0:1C:FC:FB:CC:16,-84
227,2026-02-17 10:48:54,35.51999,11.03286,TOPNET_3420,84:D8:1B:19:34:20,-81
227,2026-02-17 10:48:54,35.51999,11.03286,dlink-04F9,10:BE:F5:52:04:F9,-85
226,2026-02-17 10:48:49,35.51988,11.03287,ooredoo-43DD30,98:A9:42:43:DD:31,-75
226,2026-02-17 10:48:49,35.51988,11.03287,dlink-04F9,10:BE:F5:52:04:F9,-85
226,2026-02-17 10:48:49,35.51988,11.03287,TOPNET_3420,84:D8:1B:19:34:20,-81
226,2026-02-17 10:48:49,35.51988,11.03287,globalnet,1C:64:99:A0:34:C0,-81
225,2026-02-17 10:48:44,35.51973,11.03285,ooredoo-43DD30,98:A9:42:43:DD:31,-69
225,2026-02-17 10:48:44,35.51973,11.03285,TOPNET_3420,84:D8:1B:19:34:20,-77
225,2026-02-17 10:48:44,35.51973,11.03285,globalnet,1C:64:99:A0:34:C0,-81
225,2026-02-17 10:48:44,35.51973,11.03285,dlink-04F9,10:BE:F5:52:04:F9,-86
225,2026-02-17 10:48:44,35.51973,11.03285,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-84
224,2026-02-17 10:48:39,35.51973,11.03285,ooredoo-43DD30,98:A9:42:43:DD:31,-69
224,2026-02-17 10:48:39,35.51973,11.03285,globalnet,1C:64:99:A0:34:C0,-81
224,2026-02-17 10:48:39,35.51973,11.03285,TOPNET_3420,84:D8:1B:19:34:20,-77
224,2026-02-17 10:48:39,35.51973,11.03285,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-84
224,2026-02-17 10:48:39,35.51973,11.03285,dlink-04F9,10:BE:F5:52:04:F9,-86
223,2026-02-17 10:48:34,35.51979,11.03283,ooredoo-43DD30,98:A9:42:43:DD:31,-69
223,2026-02-17 10:48:34,35.51979,11.03283,TOPNET_3420,84:D8:1B:19:34:20,-77
223,2026-02-17 10:48:34,35.51979,11.03283,dlink-04F9,10:BE:F5:52:04:F9,-86
223,2026-02-17 10:48:34,35.51979,11.03283,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-84
222,2026-02-17 10:48:29,35.51981,11.03296,ooredoo-43DD30,98:A9:42:43:DD:31,-69
222,2026-02-17 10:48:29,35.51981,11.03296,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-84
222,2026-02-17 10:48:29,35.51981,11.03296,TOPNET_3420,84:D8:1B:19:34:20,-77
221,2026-02-17 10:48:24,35.51944,11.03327,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-78
221,2026-02-17 10:48:24,35.51944,11.03327,ooredoo-43DD30,98:A9:42:43:DD:31,-84
221,2026-02-17 10:48:24,35.51944,11.03327,globalnet.,A0:18:42:80:40:8F,-88
220,2026-02-17 10:48:19,35.5194,11.03339,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-80
